index TIME TP,week,date,day_num,Ptemp_C_PM,PAR_Den_PM,DOmV_PM,DOppm_PM,WaterTemp_PM,AirTemp_PM,UV_mW/cm2_PM,PTemp_C_DM,UV_mW/cm2_DM,PAR_Den_DM,DOmV_DM,Doppm_DM,WaterTemp_DM,AirTemp_DM
TP0,0,4/15/21,105,,,,,,,,30.97930825,2.333683087,947.7272451,26.68571602,8.939760922,,25.91442961
TP1,1,4/22/21,112,30.68312918,913.8283913,24.71883844,8.280875044,,26.08290391,2.437348219,31.83330969,2.786305177,1087.210923,27.77738771,9.305327423,,26.34150118
TP2,2,4/29/21,119,30.71839726,785.9687992,27.17895381,9.104964583,26.79108863,25.35505468,2.027708179,30.15115578,2.13530534,754.1639769,27.55325628,9.230298492,27.00903518,25.15528643
TP3,3,5/6/21,126,30.87481103,697.5927068,25.53005253,8.552569532,27.57448855,25.40494236,1.879821932,29.3817566,1.129375981,366.5390838,22.10435132,7.404863375,26.35026406,24.74183697
TP4,4,5/13/21,133,30.67556075,779.6700047,26.72366989,8.952407043,27.43934246,25.57656542,2.095732755,31.43223529,2.408709713,879.8920624,25.93752941,8.689174118,27.87763529,25.72050588
TP5,6,5/27/21,147,31.63410714,916.7178421,26.33630222,8.82265406,28.1965566,26.13616324,2.406291512,32.01330155,2.410260763,939.5703385,26.4566031,8.862864124,29.21002384,27.76040524
TP6,8,6/10/21,161,32.7908095,997.713887,27.24902826,9.128427803,29.10292204,27.43980104,2.632958803,32.09640476,2.331343187,875.2233393,28.56747619,9.570195238,28.3234881,26.60236905
TP7,10,6/24/21,175,32.85220201,929.8162608,27.57861282,9.238818568,28.76701496,27.02482996,2.491709391,33.83926278,2.407800551,915.1289394,30.5572176,10.23671463,29.42950059,27.39009512
TP8,12,7/8/21,189,33.32560442,955.9329485,29.03215738,9.725763165,29.36562484,27.59504126,2.514566652,33.60626794,2.646420802,1016.04428,27.72480861,9.287794258,29.94733254,27.6992823
TP9,16,8/5/21,217,33.2309223,883.6227476,27.63506654,9.257745701,28.93166695,27.94973425,2.313004935,,,,,,,
TP10,20,9/2/21,245,35.66809383,940.1227832,28.4022953,9.514748084,29.22985695,28.69470619,2.292160942,36.01354673,2.402596339,1010.872383,29.9893598,10.04644046,30.0993726,29.10678617
TP11,24,9/30/21,273,32.64441662,848.5594462,27.25865757,9.131662457,28.44364036,28.29026137,1.987645832,32.04144192,1.454463164,678.8492109,29.79666222,9.981801068,28.14128171,28.02153538
TP12,30,11/10/21,314,30.99637252,806.8495623,40.39762147,13.50144676,27.66676713,27.46973803,1.648274279,30.56688478,1.566990486,932.5887226,47.92752489,16.055633,27.5384495,27.95379801
TP13,36,12/21/21,355,28.62976395,596.1922923,31.97466,10.7115179,26.36677807,25.73488161,1.13278504,26.40677083,0.776047187,307.591497,10.58497321,3.545950893,24.96638393,23.4281994
TP14,43,2/9/22,40,27.79862403,707.5015864,12.73596592,4.266549281,25.82297839,25.00961193,1.16200145,29.18990251,1.224739647,891.8418579,17.19292479,5.759675487,27.07789694,26.25108635
TP15,52,4/14/22,104,29.43304506,864.8228973,18.17073599,6.08720406,27.09504127,26.14226822,1.432796937,30.09856962,1.91998826,866.6882557,34.31118987,11.49416076,27.43044304,26.3534557
